,VIDEO DATA,,,,,,,,,,,ADMIN PANEL,,,NEWS CHARACTERISTICS,,RHETORIC and NARRATIVE,,VISUALS,,,SIDE NOTES,CREATORS,OPTIONAL,NOTES
EVENT,create_time,like_count,share_count,username,video_description,view_count,comment_count,hashtag_names,voice_to_text,spread_guess,URL,Is this video available to be viewed?,Related to event of interest?,Collective Agreement to Code,News Type,Primary contemporary news value,Rhetorical Mode,Content Focus,Visual Source Material,Visual Structure,Function of Text Overlays,Does the video contain any non-news digressions or asides?,Creator Persona,Does it appear that the creator is engaged in authentic sensemaking and/or citizen journalist activities?,Use this space to make notes
maui,8/12/2023 9:16:00,25,0,eliaschavez058,#maui #hawaii #mauifire #hermosospaisajes #tiktoks #tiktok2023 #extremo #facebook #libertad #familia #explorando #heroes #lugaresincreibles #lugares #movie #hollywood #disney #disneyland #nevada #lasvegas #fire,10,2,"['fire', 'disneyland', 'disney', 'lasvegas', 'movie', 'hawaii', 'heroes', 'hollywood', 'facebook', 'familia', 'maui', 'nevada', 'extremo', 'libertad', 'tiktoks', 'lugares', 'explorando', 'hermosospaisajes', 'tiktok2023', 'lugaresincreibles', 'mauifire']",,,https://tiktok.com/@eliaschavez058/video/7266362054385356078,,,KEEP,,,,,,,,,,,
maui,8/12/2023 20:40:00,191,5,madwyt3hnky,I mean come on dude #CapCut #maui #hawai #wildfire #hammerofdawn #gearsofwar5 #gears5,4416,7,"['wildfire', 'maui', 'hawai', 'hammerofdawn', 'gearsofwar5', 'gears5', 'capcut']","Tell me I'm crazy, but more than likely I am not",,https://tiktok.com/@madwyt3hnky/video/7266538529755286826,YES - Continue coding,NO - Do not continue coding,KEEP,Other - None of the above,timeliness,Argumentation/Persuasion: Presenting a position or claim and providing evidence/reasoning,Broader Implications,,,descriptive text: sets more detailed context; as long as a paragraph,YES,,Maybe,
maui,8/14/2023 21:53:00,127,0,wendycastillo.90,#hawaii #lahaina #fire #usa #news #us,657,7,"['fire', 'usa', 'hawaii', 'us', 'news', 'lahaina']","Continúan los incendios imparables en hawái al -96 personas han muerto hasta el momento. Las autoridades siguen buscando entre los escombros, ya que hay miles más desaparecidos",,https://tiktok.com/@wendycastillo.90/video/7267299458604420394,YES - Continue coding,YES - Continue coding,KEEP,News/Facts - Reporting of factual information. Objective and not debatable.,,,,,,,,,,
ohio,2/17/2023 13:58:00,2,0,ownit3,New Thomas The Train Episode? #eastpalestine #eastpalestineohio ##controledburn #train #trains #thomastgetankengine,4,0,"['train', 'trains', 'eastpalestine', 'thomastgetankengine', 'controledburn', 'eastpalestineohio']",,,https://tiktok.com/@ownit3/video/7201123857141386539,YES - Continue coding,NO - Do not continue coding,KEEP,Other - None of the above,timeliness,N/A or Other,Broader Implications,,,N/A - no text overlay,Maybe,,Maybe,
ohio,2/17/2023 19:39:00,2,0,everlastinglite,#norfolk #norfolksouthern #train #ohio  This should be a penny stock!,91,1,"['train', 'ohio', 'norfolk', 'norfolksouthern']",,,https://tiktok.com/@everlastinglite/video/7201211813831265578,YES - Continue coding,NO - Do not continue coding,KEEP,News/Facts - Reporting of factual information. Objective and not debatable.,timeliness,"Exposition: Explaining or Informing. Presenting facts and ideas, or seeking explanation",Human/Human-Health Impact,,,"topic text: sets some brief context, usually only a few words",NO,,YES,
ohio,2/23/2023 18:24:00,0,0,this.is.america.official,No help from Biden administration #palestine #Ohio #trainderailed #norfolksouthern #biden #nohelp #ukraine,0,0,"['ohio', 'nohelp', 'palestine', 'biden', 'ukraine', 'norfolksouthern', 'trainderailed']",,,https://tiktok.com/@this.is.america.official/video/7203418911663017258,YES - Continue coding,YES - Continue coding,KEEP,News/Facts - Reporting of factual information. Objective and not debatable.,human interest,"Exposition: Explaining or Informing. Presenting facts and ideas, or seeking explanation",Response,,,"topic text: sets some brief context, usually only a few words",Maybe,,YES,
vermont,7/11/2023 20:07:00,46,0,omg_sade,I dont think you understand how much this video cracks me up. #taylorswifttok #vermontflooding #sparksflytaylorswift,12,2,"['sparksflytaylorswift', 'vermontflooding', 'taylorswifttok']",,,https://tiktok.com/@omg_sade/video/7254655092698139947,YES - Continue coding,NO - Do not continue coding,KEEP,Other - None of the above,timeliness,"Exposition: Explaining or Informing. Presenting facts and ideas, or seeking explanation",Physical Impact,,,N/A - no text overlay,NO,,Maybe,
vermont,7/12/2023 0:39:00,27,0,natedill0,Wishing sunny days to those impacted by the recent #vermontflooding,2,0,['vermontflooding'],,,https://tiktok.com/@natedill0/video/7254725357700435243,YES - Continue coding,NO - Do not continue coding,KEEP,Other - None of the above,timeliness,N/A or Other,Human/Human-Health Impact,,,N/A - no text overlay,Maybe,,Maybe,
vermont,7/21/2023 20:40:00,22,0,copydan,"Listening to all my records, part 45. #records #recordcollection #recordcollector #vinyl #vinylrecords #music #vermont #montpelier #vermontflooding #fyp #butchspielerrecords",3,0,"['music', 'vinyl', 'records', 'vermont', 'fyp', 'vinylrecords', 'montpelier', 'recordcollection', 'recordcollector', 'vermontflooding', 'butchspielerrecords']",,,https://tiktok.com/@copydan/video/7258374514365500714,YES - Continue coding,NO - Do not continue coding,KEEP,News/Facts - Reporting of factual information. Objective and not debatable.,impact and prominence,"Narration: Telling a story or sequence of events, in chronological order",Recovery,,,descriptive text: sets more detailed context; as long as a paragraph,YES,,YES,
